2014-11-05 16:48:12 Warning: Warning (512): C:\wamp\www\bvmjm\tmp\cache\ is not writable in [C:\wamp\www\cakephp-1.3.20\cake\libs\cache\file.php, line 281]
2014-11-05 16:48:15 Warning: Warning (512): C:\wamp\www\bvmjm\tmp\cache\ is not writable in [C:\wamp\www\cakephp-1.3.20\cake\libs\cache\file.php, line 281]
2015-02-20 16:24:36 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/gazzd/projects/bvmjm/views/academic_papers/marc21.ctp, line 53]
2015-02-20 16:24:36 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/gazzd/projects/bvmjm/views/academic_papers/marc21.ctp, line 54]
2015-02-20 16:24:36 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/gazzd/projects/bvmjm/views/academic_papers/marc21.ctp, line 55]
2015-02-20 16:24:36 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/gazzd/projects/bvmjm/views/academic_papers/marc21.ctp, line 56]
2015-02-20 16:24:36 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/gazzd/projects/bvmjm/views/academic_papers/marc21.ctp, line 57]
2015-02-20 16:24:36 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/gazzd/projects/bvmjm/views/academic_papers/marc21.ctp, line 58]
2015-02-20 16:24:36 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/gazzd/projects/bvmjm/views/academic_papers/marc21.ctp, line 59]
2015-02-20 16:24:36 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/gazzd/projects/bvmjm/views/academic_papers/marc21.ctp, line 60]
2015-02-20 16:24:36 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/gazzd/projects/bvmjm/views/academic_papers/marc21.ctp, line 61]
2015-02-20 16:24:36 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/gazzd/projects/bvmjm/views/academic_papers/marc21.ctp, line 62]
2015-02-20 16:24:36 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/gazzd/projects/bvmjm/views/academic_papers/marc21.ctp, line 63]
2015-02-20 16:24:36 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/gazzd/projects/bvmjm/views/academic_papers/marc21.ctp, line 64]
2015-02-20 16:24:36 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/gazzd/projects/bvmjm/views/academic_papers/marc21.ctp, line 65]
2015-02-20 16:24:36 Warning: Warning (2): Invalid argument supplied for foreach() in [/home/gazzd/projects/bvmjm/views/academic_papers/marc21.ctp, line 67]
